Filtered,Count,independent_IC50,non_independent_IC50,independent_Ki,non_independent_Ki,"system.Percentage, %"
exact data citation,335,93.0,0.0,154.0,0.0,0.637
high citation rate,1463,692.0,0.0,142.0,0.0,2.78
highly correlated assays,7743,1557.0,0.0,6735.0,0.0,14.7
multifunctional enzyme,2085,13445.0,0.0,191.0,0.0,3.96
multiply activity for same test item,2555,62.0,0.0,61.0,0.0,4.86
no issue,27727,208307.0,0.0,56555.0,0.0,52.7
review,642,915.0,0.0,277.0,0.0,1.22
rounded data citation,257,127.0,0.0,446.0,0.0,0.488
shuffled assays,811,80.0,0.0,27.0,0.0,1.54
test Item with unknown chirality,9004,28585.0,0.0,2191.0,0.0,17.1
Total,52622,253863.0,0.0,66779.0,0.0,52622.0
