Filtered,Count,independent_IC50,non_independent_IC50,independent_Ki,non_independent_Ki,"testitem.Percentage, %"
exact data citation,200,0.0,46.0,0.0,39.0,0.492
high citation rate,1152,0.0,8123.0,0.0,522.0,2.83
highly correlated assays,5003,0.0,3785.0,0.0,871.0,12.3
multifunctional enzyme,1676,0.0,2040.0,0.0,690.0,4.12
multiply activity for same test item,1895,0.0,1695.0,0.0,1115.0,4.66
no issue,22497,0.0,36680.0,0.0,7926.0,55.3
review,378,0.0,623.0,0.0,61.0,0.929
rounded data citation,182,0.0,50.0,0.0,81.0,0.447
shuffled assays,712,0.0,916.0,0.0,90.0,1.75
test Item with unknown chirality,6980,0.0,9171.0,0.0,3946.0,17.2
Total,40675,0.0,63129.0,0.0,15341.0,40675.0
