Count,Filtered,"assay.Percentage, %",independent_IC50,independent_Ki,non_independent_IC50,non_independent_Ki
580,high citation rate,1.4,3332.5,665,0,0
663,shuffled assays,1.59,13685.5,932,0,0
1213,review,2.92,3457.5,605,0,0
1293,rounded data citation,3.11,19321,2118,0,0
1651,multiply activity for same test item,3.97,6363.5,3614.5,0,0
1734,multifunctional enzyme,4.17,13445,191,0,0
3075,test Item with unknown chirality,7.4,14339,931.5,0,0
6957,exact data citation,16.7,46832.5,23837,0,0
7492,highly correlated assays,18,74140.5,20258,0,0
16918,no issue,40.7,58946,13627,0,0
41576,Total,41576,253863,66779,0,0
